,Unnamed: 0,CASE_STATUS,EMPLOYER_NAME,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE,lon,lat
0,2692228,0,"FLORIOGRAPHY, LLC",Market Research Analysts,MARKET RESEARCH ANALYST,Y,40456.0,2011.0,"KATY, TEXAS",-95.82439559999999,29.7857853
1,1772788,1,MINDTREE LIMITED,"Computer Occupations, All Other",TEST MANAGER,Y,63357.0,2014.0,"FRANKLIN, TENNESSEE",-86.86888990000001,35.9250637
2,2488118,1,INFOSYS LIMITED,Computer Systems Analysts,MODULE LEAD,Y,39166.0,2012.0,"ROANOKE, VIRGINIA",-79.9414266,37.270970399999996
3,1463659,1,TATA CONSULTANCY SERVICES LIMITED,Computer Programmers,COMPUTER PROGRAMMER,Y,63690.0,2014.0,"SAN DIEGO, CALIFORNIA",-117.1610838,32.715738
4,1448818,1,"AMERICAN IT RESOURCE GROUP, INC","Software Developers, Applications",SOFTWARE ENGINEER,Y,62712.0,2014.0,"SCHAUMBURG, ILLINOIS",-88.0834059,42.0333607
5,1589570,0,SPECTRA HEALTHCARE,Chiropractors,CHIROPRACTOR,Y,59467.0,2014.0,"TAMPA, FLORIDA",-82.4571776,27.950575
6,2986119,0,EJEWELLER.COM LLC,"Information Security Analysts, Web Developers, and",WEB DEVELOPER,Y,43347.0,2011.0,"NEW YORK, NEW YORK",-74.00594129999999,40.7127837
7,2564403,1,"GOLDMAN, SACHS & CO.",Operations Research Analysts,VICE PRESIDENT/ADVANCED SPECIALIST,Y,86700.0,2012.0,"JERSEY CITY, NEW JERSEY",-74.0776417,40.7281575
8,2734672,0,"EBET TECHNOLOGIES, INC.",Network and Computer Systems Administrators,SYSTEMS ADMINISTRATOR,Y,50794.0,2011.0,"VISTA, CALIFORNIA",-117.2425355,33.2000368
9,61427,0,"PRACTICAL APPLICATIONS, INC.",ACCOUNTANTS AND AUDITORS,ACCOUNTING CLERK,N,45926.4,2016.0,"BOSTON, MASSACHUSETTS",-71.0588801,42.360082500000004
10,2675636,1,WHIRLPOOL CORPORATION,Purchasing Managers,SOURCING SENIOR MANAGER,Y,105414.0,2011.0,"SAINT JOSEPH, MICHIGAN",-86.4895463,42.09385770000001
11,2159875,1,"FINANCIAL SOFTWARE SOLUTIONS, L.L.C.",Computer and Information Research Scientists,QUALITY CONTROL ANALYST,Y,40560.0,2013.0,"HOUSTON, TEXAS",-95.36980279999999,29.7604267
12,1099817,1,"PLAYDOM, INC., PART OF THE WALT DISNEY COMPANY FAMILY OF COMPANIES",COMPUTER AND INFORMATION SYSTEMS MANAGERS,"SENIOR MANAGER, ENGINEERING",Y,183872.0,2015.0,"PALO ALTO, CALIFORNIA",-122.14301950000001,37.441883399999995
13,1580078,1,"SWARN, INC.",Market Research Analysts and Marketing Specialists,MARKET RESEARCH ANALYST,Y,59738.0,2014.0,"PARAMUS, NEW JERSEY",-74.0754189,40.944542799999994
14,746393,0,"VISITING NURSE ASSOCIATION OF MARYLAND, LLC",TRAINING AND DEVELOPMENT SPECIALISTS,RN STAFF EDUCATOR LEVEL 2,Y,49358.4,2015.0,"WINDSOR MILL, MARYLAND",-76.75956590000001,39.3326927
15,1763531,1,"TERADATA OPERATIONS, INC.","Software Developers, Applications",SENIOR DATA DEVELOPER,Y,84906.0,2014.0,"CHICAGO, ILLINOIS",-87.62979820000001,41.8781136
16,1778129,0,POWER SOLUTIONS DTD LLC,Computer Systems Analysts,TECHNICAL ACCOUNT MANAGER,Y,100000.0,2014.0,"ENGLEWOOD, COLORADO",-104.98775970000001,39.647765299999996
17,1259319,0,"BARK'N'BORROW, LLC.","MEETING, CONVENTION, AND EVENT PLANNERS","MEETING, CONVENTION, AND EVENT PLANNERS",Y,36026.0,2015.0,"LOS ANGELES, CALIFORNIA",-118.24368490000002,34.0522342
18,179131,1,"NCS PEARSON, INC.",COMPUTER SYSTEMS ANALYSTS,DATA ANALYST,Y,104666.0,2016.0,"MORRISVILLE, NORTH CAROLINA",-78.8255621,35.823483
19,2890466,0,DAKSHIN INDIAN RESTAURANT,Chefs and Head Cooks,EXECUTIVE CHEF,Y,25043.0,2011.0,"MILPITAS, CALIFORNIA",-121.8995741,37.4323341
20,2389987,1,FAIR ISAAC CORPORATION,Operations Research Analysts,ANALYTIC SCIENCE - SCIENTIST II,Y,68952.0,2012.0,"SAN DIEGO, CALIFORNIA",-117.1610838,32.715738
21,2150208,1,"MASTECH, INC., A MASTECH HOLDINGS, INC. COMPANY",Management Analysts,PROGRAM MANAGEMENT ANALYST,Y,69388.8,2013.0,"ST LOUIS, MISSOURI",-90.1994042,38.6270025
22,2997428,0,MONINA HOME HEALTH INC.,Financial Analysts,FINANCIAL COMPLIANCE ANALYST,Y,56264.0,2011.0,"LONG BEACH, CALIFORNIA",-118.1937395,33.770050399999995
23,1870804,1,"MOTOROLA, INC.","Computer Software Engineers, Systems Software",SOFTWARE ENGINEER,Y,87256.0,2013.0,"REDMOND, WASHINGTON",-122.12151200000001,47.6739881
24,1015297,0,AIR LIQUIDE HEALTHCARE AMERICA CORPORATION,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,ACCOUNT MANAGER,Y,52811.0,2015.0,"HOUSTON, TEXAS",-95.36980279999999,29.7604267
25,2691939,0,KGCIS LLC,Market Research Analysts,MARKET RESEARCH ANALYST,N,43784.0,2011.0,"NEW YORK, NEW YORK",-74.00594129999999,40.7127837
